Data Table for Daily Case Trends - The United States,,,,
Date generated: Wed Nov 03 2021 10:08:44 GMT-0400 (Eastern Daylight Time),,,,
State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Oct 31 2021,17132,71207,64
United States,Oct 30 2021,23742,71690,569
United States,Oct 29 2021,87833,71947,137
United States,Oct 28 2021,82505,70827,21885
United States,Oct 27 2021,83984,71383,457
United States,Oct 26 2021,101178,70213,262
United States,Oct 25 2021,102080,67184,47
United States,Oct 24 2021,20512,62858,94
United States,Oct 23 2021,25538,66886,451
United States,Oct 22 2021,79997,71819,316
United States,Oct 21 2021,86397,73251,377
United States,Oct 20 2021,75791,74575,532
United States,Oct 19 2021,79975,77519,520
United States,Oct 18 2021,71801,78987,23
United States,Oct 17 2021,48706,79900,76
United States,Oct 16 2021,60070,81381,825
United States,Oct 15 2021,90020,82658,806
United States,Oct 14 2021,95662,85143,498
United States,Oct 13 2021,96402,87334,732
United States,Oct 12 2021,90254,88863,649
United States,Oct 11 2021,78188,90965,84
United States,Oct 10 2021,59073,92656,161
United States,Oct  9 2021,69008,94041,648
United States,Oct  8 2021,107416,95324,544
United States,Oct  7 2021,111000,96892,793
United States,Oct  6 2021,107103,98534,10536
United States,Oct  5 2021,104972,99624,238
United States,Oct  4 2021,90021,101192,29
United States,Oct  3 2021,68770,103672,207
United States,Oct  2 2021,77991,104766,493
United States,Oct  1 2021,118389,106756,1428
United States,Sep 30 2021,122496,108329,1427
United States,Sep 29 2021,114733,109961,1354
United States,Sep 28 2021,115944,111455,1069
United States,Sep 27 2021,107381,113893,613
United States,Sep 26 2021,76433,111716,239
United States,Sep 25 2021,91922,113831,646
United States,Sep 24 2021,129394,117575,781
United States,Sep 23 2021,133926,120840,1466
United States,Sep 22 2021,125186,125311,445
United States,Sep 21 2021,133011,130291,624
United States,Sep 20 2021,92144,135095,33
United States,Sep 19 2021,91237,138086,87
United States,Sep 18 2021,118128,139920,575
United States,Sep 17 2021,152249,143308,531
United States,Sep 16 2021,165225,145687,540
United States,Sep 15 2021,160043,149194,916
United States,Sep 14 2021,166640,152294,660
United States,Sep 13 2021,113084,144360,164
United States,Sep 12 2021,104076,142528,79
United States,Sep 11 2021,141842,144213,527
United States,Sep 10 2021,168902,144186,349
United States,Sep  9 2021,189774,146150,404
United States,Sep  8 2021,181744,145526,1347
United States,Sep  7 2021,111104,148359,90
United States,Sep  6 2021,100259,158716,404
United States,Sep  5 2021,115867,163424,277
United States,Sep  4 2021,141658,163031,417
United States,Sep  3 2021,182644,164243,388
United States,Sep  2 2021,185406,164287,401
United States,Sep  1 2021,201576,164971,323
United States,Aug 31 2021,183602,162824,504
United States,Aug 30 2021,133221,161969,83
United States,Aug 29 2021,113110,160259,179
United States,Aug 28 2021,150146,161188,361
United States,Aug 27 2021,182951,160215,201
United States,Aug 26 2021,190192,157846,253
United States,Aug 25 2021,186546,155683,257
United States,Aug 24 2021,177622,154004,367
United States,Aug 23 2021,121248,151634,69
United States,Aug 22 2021,119611,150511,70
United States,Aug 21 2021,143341,148750,376
United States,Aug 20 2021,166366,147971,1934
United States,Aug 19 2021,175048,145316,204
United States,Aug 18 2021,174795,141864,1040
United States,Aug 17 2021,161030,137970,250
United States,Aug 16 2021,113392,135501,130
United States,Aug 15 2021,107282,133100,74
United States,Aug 14 2021,137885,131213,167
United States,Aug 13 2021,147781,128753,97
United States,Aug 12 2021,150885,125701,266
United States,Aug 11 2021,147540,122697,270
United States,Aug 10 2021,143746,119402,183
United States,Aug  9 2021,96584,115426,82
United States,Aug  8 2021,94073,116784,42
United States,Aug  7 2021,120662,112355,99
United States,Aug  6 2021,126423,106676,7773
United States,Aug  5 2021,129852,103768,234
United States,Aug  4 2021,124475,99460,333
United States,Aug  3 2021,115915,94648,322
United States,Aug  2 2021,106093,90754,25
United States,Aug  1 2021,63067,86025,44
United States,Jul 31 2021,80911,83229,164
