Data Table for Daily Death Trends - The United States,,,,
Date generated: Wed Nov 03 2021 10:08:54 GMT-0400 (Eastern Daylight Time),,,,
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Oct 31 2021,159,1151,0
United States,Oct 30 2021,245,1156,0
United States,Oct 29 2021,1819,1184,71
United States,Oct 28 2021,1269,1177,1
United States,Oct 27 2021,1666,1201,66
United States,Oct 26 2021,1874,1192,25
United States,Oct 25 2021,1026,1174,56
United States,Oct 24 2021,197,1196,0
United States,Oct 23 2021,443,1257,0
United States,Oct 22 2021,1768,1303,77
United States,Oct 21 2021,1435,1310,0
United States,Oct 20 2021,1607,1311,78
United States,Oct 19 2021,1745,1327,1
United States,Oct 18 2021,1180,1331,1013
United States,Oct 17 2021,623,1295,13
United States,Oct 16 2021,768,1315,0
United States,Oct 15 2021,1815,1337,58
United States,Oct 14 2021,1443,1384,7
United States,Oct 13 2021,1717,1415,59
United States,Oct 12 2021,1773,1453,10
United States,Oct 11 2021,928,1481,47
United States,Oct 10 2021,763,1528,298
United States,Oct  9 2021,921,1549,0
United States,Oct  8 2021,2144,1586,40
United States,Oct  7 2021,1660,1579,16
United States,Oct  6 2021,1987,1607,51
United States,Oct  5 2021,1965,1630,0
United States,Oct  4 2021,1256,1634,69
United States,Oct  3 2021,913,1673,24
United States,Oct  2 2021,1178,1689,0
United States,Oct  1 2021,2100,1709,42
United States,Sep 30 2021,1852,1737,34
United States,Sep 29 2021,2151,1765,50
United States,Sep 28 2021,1989,1757,22
United States,Sep 27 2021,1531,1784,447
United States,Sep 26 2021,1023,1745,27
United States,Sep 25 2021,1323,1774,0
United States,Sep 24 2021,2294,1805,61
United States,Sep 23 2021,2047,1790,24
United States,Sep 22 2021,2092,1792,70
United States,Sep 21 2021,2178,1806,9
United States,Sep 20 2021,1260,1824,52
United States,Sep 19 2021,1230,1827,33
United States,Sep 18 2021,1536,1827,0
United States,Sep 17 2021,2188,1846,37
United States,Sep 16 2021,2060,1853,25
United States,Sep 15 2021,2196,1870,108
United States,Sep 14 2021,2298,1834,5
United States,Sep 13 2021,1283,1725,53
United States,Sep 12 2021,1234,1701,19
United States,Sep 11 2021,1666,1708,0
United States,Sep 10 2021,2237,1675,49
United States,Sep  9 2021,2176,1629,6
United States,Sep  8 2021,1946,1600,58
United States,Sep  7 2021,1538,1601,87
United States,Sep  6 2021,1115,1621,15
United States,Sep  5 2021,1284,1643,49
United States,Sep  4 2021,1432,1633,0
United States,Sep  3 2021,1916,1630,28
United States,Sep  2 2021,1974,1612,16
United States,Sep  1 2021,1951,1577,36
United States,Aug 31 2021,1677,1538,50
United States,Aug 30 2021,1269,1527,35
United States,Aug 29 2021,1218,1508,33
United States,Aug 28 2021,1408,1465,0
United States,Aug 27 2021,1789,1430,42
United States,Aug 26 2021,1730,1393,31
United States,Aug 25 2021,1677,1335,17
United States,Aug 24 2021,1598,1307,4
United States,Aug 23 2021,1136,1249,77
United States,Aug 22 2021,923,1208,13
United States,Aug 21 2021,1158,1182,0
United States,Aug 20 2021,1534,1137,14
United States,Aug 19 2021,1320,1083,29
United States,Aug 18 2021,1480,1038,15
United States,Aug 17 2021,1198,911,0
United States,Aug 16 2021,849,875,8
United States,Aug 15 2021,736,861,0
United States,Aug 14 2021,848,839,0
United States,Aug 13 2021,1155,813,14
United States,Aug 12 2021,1004,764,0
