Trends in Number of COVID-19 Vaccinations in the US,,,,,,,,,,,,,,,,
Date generated: Wed Nov 03 2021 10:56:22 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,,
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,People Receiving a Booster Dose,Total People Receiving a Booster Dose,7-Day Average Daily Count Booster
Report,12/13/2020,US,,,,,,,0,0,,,,N/A,N/A,N/A
Admin,12/14/2020,US,4290,4160,24142,21120,10560,12071,,,90,3539,1769,0,0,0
Report,12/14/2020,US,,,,,,,509,255,,,,N/A,N/A,N/A
Admin,12/15/2020,US,48550,46364,72692,67484,22495,24230,,,180,3719,1239,0,0,0
Report,12/15/2020,US,,,,,,,12129,4213,,,,N/A,N/A,N/A
Admin,12/16/2020,US,158539,153140,231231,220624,55156,57807,,,359,4078,1019,0,0,0
Report,12/16/2020,US,,,,,,,38996,12909,,,,N/A,N/A,N/A
Admin,12/17/2020,US,270152,263177,501383,483801,96760,100276,,,532,4610,922,0,0,0
Report,12/17/2020,US,,,,,,,75708,25468,,,,N/A,N/A,N/A
Admin,12/18/2020,US,412756,404293,914139,888094,148016,152356,,,938,5548,924,0,0,0
Report,12/18/2020,US,,,,,,,126800,42357,,,,N/A,N/A,N/A
Admin,12/19/2020,US,180689,176963,1094828,1065057,152151,156404,,,934,6482,926,0,0,0
Report,12/19/2020,US,,,,,,,187508,63093,,,,N/A,N/A,N/A
Admin,12/20/2020,US,103932,102124,1198760,1167181,164317,168415,,,626,7108,522,0,0,0
Report,12/20/2020,US,,,,,,,209853,93072,,,,N/A,N/A,N/A
Admin,12/21/2020,US,380544,374271,1579304,1541452,217190,222166,,,1124,8232,670,0,0,0
Report,12/21/2020,US,,,,,,,149957,114422,,,,N/A,N/A,N/A
Admin,12/22/2020,US,447834,439352,2027138,1980804,273331,279206,,,2417,10649,990,0,0,0
Report,12/22/2020,US,,,,,,,189722,139792,,,,N/A,N/A,N/A
Admin,12/23/2020,US,571271,559908,2598409,2540712,331441,338168,,,1985,12634,1222,0,0,0
Report,12/23/2020,US,,,,,,,368173,186817,,,,N/A,N/A,N/A
Admin,12/24/2020,US,195430,190646,2793839,2731358,321080,327493,,,882,13516,1272,0,0,0
Report,12/24/2020,US,,,,,,,338436,224350,,,,N/A,N/A,N/A
Admin,12/25/2020,US,12609,12477,2806448,2743835,265106,270329,,,85,13601,1150,0,0,0
Report,12/25/2020,US,,,,,,,336145,254256,,,,N/A,N/A,N/A
Admin,12/26/2020,US,140822,137949,2947270,2881784,259532,264634,,,569,14170,1098,0,0,0
Report,12/26/2020,US,,,,,,,156478,249823,,,,N/A,N/A,N/A
Admin,12/27/2020,US,95811,93012,3043081,2974796,258231,263474,,,548,14718,1087,0,0,0
Report,12/27/2020,US,,,,,,,61992,228700,,,,N/A,N/A,N/A
Admin,12/28/2020,US,585832,574093,3628913,3548889,286777,292801,,,2962,17680,1349,0,0,0
Report,12/28/2020,US,,,,,,,156220,229595,,,,N/A,N/A,N/A
Admin,12/29/2020,US,714607,698221,4343520,4247110,323758,330911,,,4113,21793,1592,0,0,0
Report,12/29/2020,US,,,,,,,314677,247446,,,,N/A,N/A,N/A
Admin,12/30/2020,US,834919,818203,5178439,5065313,360657,368575,,,6332,28125,2213,0,0,0
Report,12/30/2020,US,,,,,,,441549,257928,,,,N/A,N/A,N/A
Admin,12/31/2020,US,418752,410449,5597191,5475762,392058,400478,,,2710,30835,2474,0,0,0
Report,12/31/2020,US,,,,,,,573278,291477,,,,N/A,N/A,N/A
Admin,1/1/2021,US,81184,74801,5678375,5550563,400961,410275,,,5170,36005,3200,0,0,0
Report,1/1/2021,US,,,,,,,434528,305532,,,,N/A,N/A,N/A
Admin,1/2/2021,US,260824,252290,5939199,5802853,417296,427418,,,2557,38562,3484,0,0,0
Report,1/2/2021,US,,,,,,,290402,324664,,,,N/A,N/A,N/A
Admin,1/3/2021,US,136662,129461,6075861,5932314,422503,433254,,,2397,40959,3748,0,0,0
Report,1/3/2021,US,,,,,,,185279,342276,,,,N/A,N/A,N/A
Admin,1/4/2021,US,648212,590919,6724073,6523233,424906,442165,,,44777,85736,9722,0,0,0
Report,1/4/2021,US,,,,,,,239472,354169,,,,N/A,N/A,N/A
Admin,1/5/2021,US,821356,722864,7545429,7246097,428427,457415,,,87031,172767,21567,0,0,0
Report,1/5/2021,US,,,,,,,337114,357375,,,,N/A,N/A,N/A
Admin,1/6/2021,US,1011927,825326,8557356,8071423,429444,482702,,,170616,343383,45036,0,0,0
Report,1/6/2021,US,,,,,,,600055,380018,,,,N/A,N/A,N/A
Admin,1/7/2021,US,1157826,859245,9715182,8930668,493558,588284,,,277775,621158,84331,0,0,0
Report,1/7/2021,US,,,,,,,730700,402507,,,,N/A,N/A,N/A
